masks_stance	masks_argument	quarantine_stance	quarantine_argument	vaccines_stance	vaccines_argument
1	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	2	1	-1	-1
1	1	-1	1	-1	-1
2	1	-1	-1	-1	-1
-1	-1	-1	-1	1	1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
-1	-1	-1	-1	1	1
2	1	-1	-1	-1	-1
0	2	-1	-1	-1	-1
1	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	0	1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	1	-1	-1
2	2	-1	-1	-1	-1
2	1	-1	-1	-1	-1
2	1	1	-1	-1	-1
2	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
0	2	-1	-1	-1	-1
2	2	-1	-1	-1	-1
2	1	-1	1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	2	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
0	1	-1	-1	-1	0
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
-1	-1	1	0	-1	-1
0	0	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
2	1	-1	1	-1	-1
2	1	-1	-1	-1	-1
2	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
2	2	-1	-1	-1	-1
2	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	0	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
2	0	-1	-1	-1	-1
2	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
-1	-1	-1	1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	0	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
2	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
-1	-1	-1	-1	2	1
0	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
1	1	-1	1	-1	-1
2	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
0	1	-1	-1	-1	-1
2	2	-1	-1	-1	-1
1	1	-1	-1	-1	-1
1	1	-1	-1	-1	-1
